artist,timestamp,monthly_listeners,change_since_yesterday,change_past_2_days,change_past_3_days,pct_since_yesterday,pct_past_2_days,pct_past_3_days,listeners_3days_ago,listeners_2days_ago,listeners_1day_ago,change_day1_to_day2,pct_day1_to_day2,change_day2_to_day3,pct_day2_to_day3
Grace Ives,2026-03-22 14:05 UTC,618939,0.0,,,0.0,,,618939.0,618939.0,618939.0,0.0,0.0,,
Grace Ives,2026-03-22 14:05 UTC,618939,0.0,,,0.0,,,618939.0,618939.0,618939.0,0.0,0.0,,
Grace Ives,2026-03-22 14:05 UTC,618939,0.0,,,0.0,,,618939.0,618939.0,618939.0,0.0,0.0,,
King Kylie,2026-03-22 14:05 UTC,541967,0.0,,,0.0,,,541967.0,541967.0,541967.0,0.0,0.0,,
King Kylie,2026-03-22 14:05 UTC,541967,0.0,,,0.0,,,541967.0,541967.0,541967.0,0.0,0.0,,
King Kylie,2026-03-22 14:05 UTC,541967,0.0,,,0.0,,,541967.0,541967.0,541967.0,0.0,0.0,,
underscores,2026-03-22 14:05 UTC,1124682,0.0,,,0.0,,,,1124682.0,1124682.0,,,,
Iceage,2026-03-22 14:05 UTC,476127,0.0,,,0.0,,,,476127.0,476127.0,,,,
Bruno,2026-03-22 14:05 UTC,20731,0.0,,,0.0,,,,20731.0,20731.0,,,,
Canyon,2026-03-22 14:05 UTC,18948,0.0,,,0.0,,,,18948.0,18948.0,,,,
Lightris,2026-03-22 14:05 UTC,357090,0.0,,,0.0,,,,357090.0,357090.0,,,,
Leni Woess,2026-03-22 14:05 UTC,395633,0.0,,,0.0,,,,395633.0,395633.0,,,,
Charlotte Aitchison,2026-03-22 14:05 UTC,466003,0.0,,,0.0,,,,466003.0,466003.0,,,,
Banjaare,2026-03-22 14:05 UTC,6501399,0.0,,,0.0,,,,6501399.0,6501399.0,,,,
Corridos del Rey,2026-03-22 14:05 UTC,277423,0.0,,,0.0,,,,277423.0,277423.0,,,,
SadBoi,2026-03-22 14:05 UTC,825749,0.0,,,0.0,,,,825749.0,825749.0,,,,
Temper City,2026-03-22 14:05 UTC,3194073,0.0,,,0.0,,,,3194073.0,3194073.0,,,,
Bausa,2026-03-22 14:05 UTC,2487488,0.0,,,0.0,,,,2487488.0,2487488.0,,,,
Noémi Büchi,2026-03-22 14:05 UTC,28160,0.0,,,0.0,,,,28160.0,28160.0,,,,
sam e hues,2026-03-22 14:05 UTC,159327,0.0,,,0.0,,,,159327.0,159327.0,,,,
Mannywellz,2026-03-22 14:05 UTC,394530,0.0,,,0.0,,,,394530.0,394530.0,,,,
Aiyana-Lee,2026-03-22 14:05 UTC,946579,0.0,,,0.0,,,,946579.0,946579.0,,,,
Stopthis,2026-03-22 14:05 UTC,30207,0.0,,,0.0,,,,30207.0,30207.0,,,,
Moin,2026-03-22 14:05 UTC,68013,0.0,,,0.0,,,,68013.0,68013.0,,,,
Slayyyter,2026-03-22 14:05 UTC,2294704,0.0,,,0.0,,,,2294704.0,2294704.0,,,,
Slayr,2026-03-22 14:05 UTC,843776,0.0,,,0.0,,,,843776.0,843776.0,,,,
twentythree,2026-03-22 14:05 UTC,798739,0.0,,,0.0,,,,798739.0,798739.0,,,,
RealestK,2026-03-22 14:05 UTC,1927847,0.0,,,0.0,,,,1927847.0,1927847.0,,,,
Damon Price,2026-03-22 14:05 UTC,756129,0.0,,,0.0,,,,756129.0,756129.0,,,,
Ruston Gray,2026-03-22 14:05 UTC,424427,0.0,,,0.0,,,,424427.0,424427.0,,,,
The Second Voice,2026-03-22 14:05 UTC,920976,0.0,,,0.0,,,,920976.0,920976.0,,,,
